URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.designsystem.gov.sg/docs/installation/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,<meta name="viewport" content="width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0">,<meta> tag disables zooming on mobile devices,head > meta[name="viewport"]
URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.designsystem.gov.sg/docs/getting-started/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,<button id="main-search" class="sgds-button is-white is-large search-toggle" data-target="searchbar-main" type="button">,Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",#main-search
https://www.designsystem.gov.sg/docs/getting-started/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,<input class="input is-fullwidth is-borderless is-shadowless" id="search" type="text" placeholder="What are you looking for?" name="search" autocomplete="off" aria-label="search">,Document has multiple elements with the same id attribute: search,#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type="text"]
https://www.designsystem.gov.sg/docs/getting-started/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,<html lang="en">,,html
https://www.designsystem.gov.sg/docs/getting-started/,list,serious,https://dequeuniversity.com/rules/axe/2.6/list?application=webdriverjs,<ul class="sgds-menu-list">,,.sidebar__inner.sgds-menu > ul.sgds-menu-list
https://www.designsystem.gov.sg/docs/getting-started/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,<meta name="viewport" content="width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0">,<meta> tag disables zooming on mobile devices,head > meta[name="viewport"]
URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.designsystem.gov.sg/coming-soon/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,<button id="main-search" class="sgds-button is-white is-large search-toggle" data-target="searchbar-main" type="button">,Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",#main-search
https://www.designsystem.gov.sg/coming-soon/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,<input class="input is-fullwidth is-borderless is-shadowless" id="search" type="text" placeholder="What are you looking for?" name="search" autocomplete="off" aria-label="search">,Document has multiple elements with the same id attribute: search,#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type="text"]
https://www.designsystem.gov.sg/coming-soon/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,<html lang="en">,,html
https://www.designsystem.gov.sg/coming-soon/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,<meta name="viewport" content="width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0">,<meta> tag disables zooming on mobile devices,head > meta[name="viewport"]
URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.designsystem.gov.sg/privacy/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,<button id="main-search" class="sgds-button is-white is-large search-toggle" data-target="searchbar-main" type="button">,Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",#main-search
https://www.designsystem.gov.sg/privacy/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,<input class="input is-fullwidth is-borderless is-shadowless" id="search" type="text" placeholder="What are you looking for?" name="search" autocomplete="off" aria-label="search">,Document has multiple elements with the same id attribute: search,#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type="text"]
https://www.designsystem.gov.sg/privacy/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,<html lang="en">,,html
https://www.designsystem.gov.sg/privacy/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,<meta name="viewport" content="width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0">,<meta> tag disables zooming on mobile devices,head > meta[name="viewport"]
URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.designsystem.gov.sg/terms/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,<button id="main-search" class="sgds-button is-white is-large search-toggle" data-target="searchbar-main" type="button">,Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",#main-search
https://www.designsystem.gov.sg/terms/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,<input class="input is-fullwidth is-borderless is-shadowless" id="search" type="text" placeholder="What are you looking for?" name="search" autocomplete="off" aria-label="search">,Document has multiple elements with the same id attribute: search,#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type="text"]
https://www.designsystem.gov.sg/terms/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,<html lang="en">,,html
https://www.designsystem.gov.sg/terms/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,<meta name="viewport" content="width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0">,<meta> tag disables zooming on mobile devices,head > meta[name="viewport"]
